student_id,date,week_no,semester_phase,login_count,avg_session_duration_min,inactive_days_streak,forum_posts,resources_accessed,assignments_due,assignments_submitted,submission_delay_hours,late_submission_ratio_7d,time_to_start_assignment_hr,late_night_activity_ratio,weekend_activity_ratio,session_variance_7d,study_time_trend_7d,engagement_drop_pct_14d,focus_decay_score,consistency_score,burnout_risk_label,burnout_flag,login_7d_avg,login_14d_avg,late_submission_flag
S0001,2025-01-14,2,mid,4,56.9072725611364,0,0,3,1,1,6.841333431426143,0.0,9.319832633351917,0.8509284487675127,0.9356349942209476,0.7853406511139436,0.3379765094284572,0.0,0.5806866214364547,0.3722827665617431,low,0,5.571428571428571,5.571428571428571,0
S0001,2025-01-15,3,mid,5,34.06059590931526,0,1,5,0,1,3.050636659545357,0.0,12.361253811227355,0.3253996981592677,0.7464914051180241,0.6496328990472147,0.6984468209883559,0.012658205415838458,0.6576128923003434,0.5683086033354716,low,0,5.714285714285714,5.642857142857143,0
S0001,2025-01-16,3,mid,5,37.4626383564251,0,0,5,0,1,4.7182028910653,0.0,12.61648557806036,0.3500784076946757,0.6451033620305648,0.6689240596630996,0.7283351301438061,0.012986989374304989,0.2301852682415552,0.4991933798847523,low,0,5.571428571428571,5.5,0
S0001,2025-01-17,3,mid,7,48.967742812711286,0,0,4,1,1,4.751735222236681,0.0,12.221022453843217,0.9666548190436696,0.9636199770892528,0.8530094554673601,-0.4111022158608286,-0.012658205415838616,0.3850977286019252,0.8511366715168569,low,0,5.571428571428571,5.642857142857143,0
S0001,2025-01-18,3,mid,5,39.870346823643786,0,2,2,1,0,7.1148470177247525,0.0,10.154082578438906,0.7407686177542044,0.697015740995268,0.7024840839871093,-0.2810176975604896,-0.02564097961875444,0.2935918442644933,0.8093611554785136,low,0,5.428571428571429,5.571428571428571,0
S0001,2025-01-19,3,mid,6,47.57207490980107,0,2,5,1,0,4.669380770892875,0.0,7.938474474002469,0.0507685310393969,0.8866171489506599,0.0276167718737047,0.1577297910151174,-0.02564097961875444,0.4384741230180869,0.6720261352951994,low,0,5.428571428571429,5.571428571428571,0
S0001,2025-01-20,3,mid,5,40.44966826012434,0,3,2,1,0,3.213759452741554,0.0,8.995548257815798,0.5222432600548044,0.7699935530986108,0.2158210274968431,0.2457809516380005,-0.03896096812291513,0.085347464993768,0.0516817211686077,low,0,5.285714285714286,5.5,0
S0001,2025-01-21,3,mid,8,63.43413758320533,0,3,3,0,1,4.111002511561635,0.0,4.992602922728405,0.0784563813422659,0.0253507434154575,0.9626484146779252,0.6719602410244117,0.024999956250076474,0.695974206093698,0.4089529444142699,low,0,5.857142857142857,5.714285714285714,0
S0001,2025-01-22,4,mid,5,41.82153093489416,0,0,1,1,0,5.754592530920818,0.0,14.95405295943847,0.6117207462343522,0.4196000624277899,0.2477309895011574,-0.2880546426974768,0.01234565767417188,0.7578461104643691,0.0143934886297558,low,0,5.857142857142857,5.785714285714286,0
S0001,2025-01-23,4,mid,5,63.72005680472304,0,0,5,0,1,4.494863697213679,0.0,6.256650454105452,0.3985047343973734,0.6158500980522165,0.6350936508676438,-0.909391980455911,0.024999956250076474,0.3746126146264712,0.6258599157142364,low,0,5.857142857142857,5.714285714285714,0
S0001,2025-01-24,4,mid,7,45.10233061019587,0,1,2,0,1,6.294325393574088,0.0,10.378284483472086,0.575474177875879,0.3881699262065219,0.6432882184423532,-0.0834942190169667,0.024999956250076474,0.5456167893159349,0.9414648087765252,low,0,5.857142857142857,5.714285714285714,0
S0001,2025-01-25,4,mid,6,43.91502111436487,0,1,5,1,0,4.162982237579135,0.0,9.665743670255226,0.6182538843378929,0.3365542148887265,0.6557226353807422,-0.2292067580688699,0.04999991250015311,0.6816136689727897,0.34062456946424,low,0,6.0,5.714285714285714,0
S0001,2025-01-26,4,mid,5,27.83575554056028,0,1,3,0,1,6.62572423767792,0.0,11.888886525770836,0.2820345725713065,0.1774395437797228,0.7506147516408583,0.613669478534528,0.03797461624751538,0.9905051420006732,0.4126176769114265,low,0,5.857142857142857,5.642857142857143,0
S0001,2025-01-27,4,mid,7,39.0842861116417,0,0,5,1,0,7.288743070949367,0.0,12.573593976365398,0.2382361524039794,0.3777288861762948,0.5343274735305634,-0.0068776186338446,0.07499986875022974,0.3896180862192034,0.2976351745093109,low,0,6.142857142857143,5.714285714285714,0
S0001,2025-01-28,4,mid,6,43.75474752406316,0,1,2,0,1,1.4159097997295702,0.0,8.659679464630276,0.3286645453699159,0.6725184560770384,0.75237452943768,0.5831580874516971,0.0,0.7896181427945539,0.0912061030486903,low,0,5.857142857142857,5.857142857142857,0
S0001,2025-01-29,5,mid,5,44.91182953754193,0,1,5,0,0,6.227682682950849,0.0,14.073642364299964,0.1011226761227902,0.0841068061149974,0.70096913145912,-0.854473987271613,0.0,0.8218600592903562,0.7062422271564962,low,0,5.857142857142857,5.857142857142857,0
S0001,2025-01-30,5,mid,7,40.2261826942468,0,3,3,0,1,0.925848130055722,0.0,14.710096841628015,0.906354385094736,0.1111974823061513,0.4926251042908591,-0.977292710465162,0.02380948412705033,0.4686606419941262,0.0563032756818373,low,0,6.142857142857143,6.0,0
S0001,2025-01-31,5,mid,7,52.7086310146404,0,2,1,0,1,0.0,0.0,13.428177649881498,0.8021092490267341,0.9779006687542708,0.5560050386425845,-0.3546272234448326,0.02380948412705033,0.0434007832981727,0.924643330223596,low,0,6.142857142857143,6.0,0
